,МАРКА_rare,МАРКА_Э76ХФ,МАРКА_Э90ХАФ,ПРОФИЛЬ_rare,ПРОФИЛЬ_Р65,t вып-обр,t обработка,t под током,t продувка,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,температура последняя,Ar (интенс.),эл. энергия (интенс.),произв жидкая сталь,расход газ Ar,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  FeV-80,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  фх850А,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Cu_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2
1103,0,1,0,0,1,33.0,50.3833333,23.716666699999998,50.3833333,3.004414482568112,0.358245,0.069333,0.028156,0.134208,0.039348,1563.0,1591.0,8.3802494,11935.910049200002,114.2,14.002,0.142,0.496,0.42016204219121506,0.063,0.02,0.049732,0.196,0.038,0.121,4718.0,0.002,0.46799999999999997,0.364,0.111,0.758,0.01,0.008,0.08199999999999999,0.018000000000000002,0.02,0.466,0.002,0.004,0.005,0.7879999999999999,0.0023,0.42,0.11,0.78,0.01,0.011000000000000001,0.08199999999999999,0.018000000000000002,0.017,0.569,0.003,0.034,4.113897089835528,57.1,1.4,12.9,0.19,2.6,22.70491353859137,,53.2,0.5,9.0,0.15,2.5,
1104,0,1,0,0,1,27.0,49.3666667,21.7,49.3666667,3.004414482568112,0.52822,0.138666,0.23108299999999998,0.187626,0.0418663,1590.0,1585.0,7.392032400000001,11983.4101382,113.5,12.164000000000001,0.19399999999999998,0.05,0.575,0.037000000000000005,0.02,0.052915,0.196,0.345,0.242,4334.0,0.001,0.355,0.305,0.11599999999999999,0.589,0.008,0.008,0.084,0.006999999999999999,0.02,0.41100000000000003,0.001,0.001,0.002,0.75,0.0002,0.41700000000000004,0.11599999999999999,0.784,0.006999999999999999,0.011000000000000001,0.083,0.008,0.016,0.5660000000000001,0.003,0.037000000000000005,4.113897089835528,54.9,0.5,10.6,0.13,2.1,22.70491353859137,,57.9,0.3,6.7,0.1,2.3,
1105,0,1,0,0,1,27.0,48.8833333,24.0166667,48.8833333,3.004414482568112,0.497255,0.162159,0.243425,0.181818,0.042667800000000006,1574.0,1585.0,16.7612705,11654.406662000001,116.2,27.265,0.26,0.05,0.532,0.076,0.02,0.053928,0.182,0.364,0.28300000000000003,4665.0,0.002,0.39299999999999996,0.29100000000000004,0.11599999999999999,0.5920000000000001,0.008,0.01,0.084,0.006999999999999999,0.022000000000000002,0.434,0.002,0.002,0.003,0.764,0.0004,0.418,0.115,0.7929999999999999,0.006999999999999999,0.012,0.084,0.008,0.015,0.5589999999999999,0.003,0.035,4.113897089835528,53.6,1.4,10.9,0.22,2.0,22.70491353859137,,56.6,0.3,6.8,0.09,2.2,
1106,0,1,0,0,1,36.0,42.05,18.8833333,42.05,3.004414482568112,0.47597,0.113454,0.1535135,0.157503,0.0412081,1576.0,1583.0,10.6052319,12093.203883499998,114.3,14.865,0.106,0.05,0.518,0.037000000000000005,0.02,0.052083000000000004,0.18100000000000002,0.228,0.198,3806.0,0.002,0.413,0.325,0.11199999999999999,0.652,0.008,0.009000000000000001,0.08199999999999999,0.006999999999999999,0.017,0.439,0.002,0.002,0.003,0.775,0.0003,0.41600000000000004,0.113,0.7829999999999999,0.006999999999999999,0.013000000000000001,0.08199999999999999,0.008,0.013000000000000001,0.568,0.003,0.036000000000000004,4.113897089835528,43.9,0.8,9.7,0.22,2.0,22.70491353859137,,56.7,0.3,6.4,0.09,2.3,
1107,0,1,0,0,1,11.0,51.3833333,15.316666699999999,51.3833333,3.004414482568112,0.51941,0.151272,0.199665,0.192294,0.0432976,1614.0,1576.0,13.4766082,11387.595212200002,116.5000001,23.045,0.182,0.05,0.563,0.038,0.02,0.054724,0.21600000000000003,0.297,0.264,2907.0,0.002,0.39399999999999996,0.295,0.107,0.619,0.006999999999999999,0.009000000000000001,0.069,0.006999999999999999,0.017,0.41700000000000004,0.001,0.002,0.003,0.765,0.0002,0.413,0.106,0.7879999999999999,0.006,0.011000000000000001,0.069,0.008,0.012,0.573,0.003,0.036000000000000004,4.113897089835528,51.3,1.9,13.3,0.32,2.0,22.70491353859137,,58.7,0.3,6.7,0.1,2.3,
1108,0,1,0,0,1,18.0,41.6833333,11.4666667,41.6833333,3.004414482568112,0.48836,0.115746,0.1787765,0.197793,0.040292699999999994,1612.0,1601.0,8.8128749,11590.1162791,112.0,12.245,0.272,0.146,0.449,0.035,0.02,0.050926,0.233,0.265,0.20199999999999999,2215.0,0.001,0.39399999999999996,0.317,0.10400000000000001,0.627,0.012,0.009000000000000001,0.081,0.008,0.02,0.38299999999999995,0.001,0.002,0.003,0.76,0.0003,0.41100000000000003,0.105,0.794,0.011000000000000001,0.011000000000000001,0.081,0.009000000000000001,0.015,0.5660000000000001,0.003,0.036000000000000004,4.113897089835528,48.0,0.5,17.9,0.7,1.9,22.70491353859137,,57.6,0.4,6.4,0.09,2.2,
1109,0,1,0,0,1,18.0,42.1666667,23.716666699999998,42.1666667,3.5100671,0.5129776,0.15299100000000002,0.19001800000000002,0.145764,0.041408999999999994,1531.0,1580.0,6.063083,12763.1763879,113.5,8.522,0.129,0.05,0.504,0.071,0.02,0.052337,0.14800000000000002,0.284,0.267,5045.0,0.001,0.364,0.289,0.096,0.62,0.006,0.01,0.06,0.005,0.018000000000000002,0.43200000000000005,0.001,0.002,0.003,0.767,0.0006,0.415,0.098,0.792,0.005,0.012,0.061,0.006999999999999999,0.013999999999999999,0.56,0.003,0.038,4.113897089835528,54.0,0.9,12.0,0.38,2.6,22.70491353859137,,58.2,0.3,6.0,0.09,2.3,
1110,0,1,0,0,1,13.0,42.033333299999995,16.216666699999998,42.033333299999995,2.1452991000000003,0.47612,0.10428599999999999,0.1226425,0.129969,0.0417231,1577.0,1585.0,15.8367104,11702.7749229,116.4,22.145,0.063,0.05,0.521,0.048,0.02,0.052734,0.151,0.182,0.182,3163.0,0.002,0.418,0.33399999999999996,0.106,0.6890000000000001,0.008,0.006999999999999999,0.077,0.01,0.019,0.45899999999999996,0.002,0.002,0.003,0.7759999999999999,0.0003,0.414,0.105,0.787,0.006999999999999999,0.013000000000000001,0.077,0.01,0.011000000000000001,0.5670000000000001,0.003,0.037000000000000005,4.113897089835528,56.4,0.4,12.2,0.16,2.2,22.70491353859137,,47.8,0.3,7.3,0.08,2.3,
1111,0,1,0,0,1,9.0,42.3666667,12.016666699999998,42.3666667,3.004414482568112,0.383625,0.11746500000000001,0.1330635,0.126243,0.0409509,1592.0,1584.0,8.5042343,11384.188626899999,113.2,11.939,0.1321788260167713,0.05,0.40399999999999997,0.05472961086294361,0.02,0.051758000000000005,0.141,0.198,0.205,2280.0,0.002,0.483,0.318,0.11,0.6809999999999999,0.006,0.008,0.07200000000000001,0.01,0.017,0.456,0.002,0.002,0.003,0.767,0.0003,0.41200000000000003,0.10800000000000001,0.7909999999999999,0.006,0.011000000000000001,0.07200000000000001,0.011000000000000001,0.015,0.569,0.003,0.036000000000000004,4.113897089835528,53.2,0.8,17.4,0.27,2.5,22.70491353859137,,54.5,0.4,11.8,0.08,2.5,
1112,0,1,0,0,1,7.0,45.3833333,15.383333300000002,45.3833333,2.0,0.5021116,0.12032999999999999,0.12424349999999999,0.142035,0.042152800000000004,1589.0,1579.0,13.101726,11743.8786566,116.8,19.82,0.07200000000000001,0.05,0.534,0.048,0.02,0.053277,0.16899999999999998,0.184,0.21,3011.0,0.002,0.389,0.319,0.10400000000000001,0.6759999999999999,0.008,0.008,0.07400000000000001,0.01,0.021,0.43700000000000006,0.001,0.002,0.003,0.77,0.0004,0.414,0.10300000000000001,0.795,0.006999999999999999,0.012,0.07400000000000001,0.011000000000000001,0.01,0.563,0.003,0.038,4.113897089835528,52.1,0.8,15.2,0.78,2.3,22.70491353859137,,50.5,0.4,15.9,0.15,2.3,
1113,0,1,0,0,1,11.0,43.033333299999995,19.6833333,42.8666667,2.0730266,0.4708302,0.118038,0.1331875,0.131451,0.0399208,1575.0,1582.0,7.677993799999999,12177.815410700001,112.7,10.970999999999998,0.068,0.05,0.47600000000000003,0.036000000000000004,0.02,0.050456,0.149,0.198,0.20600000000000002,3995.0,0.002,0.41,0.321,0.10099999999999999,0.6809999999999999,0.006999999999999999,0.009000000000000001,0.065,0.009000000000000001,0.02,0.455,0.002,0.003,0.003,0.759,0.0003,0.415,0.102,0.809,0.006,0.012,0.065,0.01,0.015,0.579,0.003,0.037000000000000005,4.113897089835528,53.3,0.6,17.3,0.75,2.2,22.70491353859137,,51.6,0.5,11.2,0.11,2.3,
1114,0,1,0,0,1,7.0,43.8833333,15.866666699999998,43.8833333,2.0,0.42639,0.105432,0.07987899999999999,0.127122,0.0408077,1586.0,1584.0,10.6962662,11783.193277299999,114.2,14.642000000000001,0.1321788260167713,0.05,0.461,0.046,0.02,0.051577,0.16399999999999998,0.11699999999999999,0.184,3116.0,0.002,0.45,0.332,0.078,0.73,0.006,0.009000000000000001,0.065,0.012,0.02,0.45799999999999996,0.002,0.002,0.003,0.757,0.0003,0.414,0.078,0.797,0.006,0.01,0.064,0.012,0.013000000000000001,0.5720000000000001,0.003,0.037000000000000005,4.113897089835528,49.6,0.3,11.2,0.17,2.2,22.70491353859137,,50.6,0.7,11.4,0.12,2.3,
1115,0,1,0,0,1,14.0,45.7,19.533333300000002,45.7,3.6518607000000003,0.30975,0.105432,0.0260435,0.100659,0.0401494,1553.0,1579.0,15.4672801,12802.730375399999,116.3,23.346999999999998,0.1321788260167713,0.05,0.319,0.042,0.02,0.050745,0.145,0.036000000000000004,0.184,4168.0,0.002,0.562,0.32899999999999996,0.11199999999999999,0.7659999999999999,0.006,0.009000000000000001,0.066,0.012,0.019,0.48200000000000004,0.003,0.003,0.004,0.772,0.0003,0.41100000000000003,0.11,0.785,0.005,0.011000000000000001,0.066,0.012,0.015,0.5770000000000001,0.004,0.037000000000000005,4.113897089835528,59.2,0.4,9.0,0.09,2.6,22.70491353859137,,55.8,0.5,7.4,0.11,2.3,
1116,0,1,0,0,1,12.0,45.716666700000005,19.533333300000002,45.55,3.6114309,0.424525,0.085377,0.036129,0.11043,0.0403781,1553.0,1580.0,7.1894621,12765.8703072,114.5,10.915999999999999,0.1321788260167713,0.05,0.46399999999999997,0.059000000000000004,0.02,0.051033999999999996,0.156,0.051,0.149,4156.0,0.003,0.456,0.349,0.105,0.77,0.006999999999999999,0.009000000000000001,0.075,0.013000000000000001,0.021,0.484,0.003,0.003,0.003,0.778,0.0003,0.41700000000000004,0.105,0.7879999999999999,0.006,0.011000000000000001,0.075,0.013000000000000001,0.017,0.575,0.003,0.037000000000000005,4.113897089835528,49.3,0.8,6.8,0.16,2.6,22.70491353859137,,57.5,0.9,5.3,0.09,2.6,
1117,0,1,0,0,1,15.0,45.8833333,17.1833333,45.8833333,2.0521407,0.44846,0.13752,0.089639,0.123222,0.0421243,1579.0,1584.0,9.485042,12210.6692532,117.1,14.109000000000002,0.07400000000000001,0.05,0.48200000000000004,0.059000000000000004,0.02,0.053241,0.154,0.132,0.24,3497.0,0.002,0.452,0.307,0.105,0.7120000000000001,0.006,0.008,0.066,0.009000000000000001,0.017,0.462,0.002,0.002,0.004,0.767,0.0003,0.413,0.10400000000000001,0.789,0.004,0.01,0.065,0.01,0.012,0.568,0.003,0.037000000000000005,4.113897089835528,51.4,0.4,8.6,0.1,2.4,22.70491353859137,,54.7,0.7,9.7,0.1,2.3,
1119,0,0,1,0,1,11.0,59.8666667,30.933333299999997,59.7,3.3190748,0.47188500000000005,0.077355,0.113703,0.085566,0.0949935,1568.0,1631.0,8.312167299999999,12444.827586200001,110.1,4.8580000000000005,0.068,0.05,0.521,0.033,0.02,0.106012,0.086,0.17,0.135,6416.0,0.002,0.455,0.221,0.087,0.706,0.005,0.009000000000000001,0.066,0.006999999999999999,0.015,0.48100000000000004,0.002,0.002,0.003,0.867,0.0004,0.29100000000000004,0.09,0.807,0.003,0.015,0.067,0.009000000000000001,0.015,0.544,0.003,0.08199999999999999,4.113897089835528,69.1,0.5,8.5,0.13,3.9,22.70491353859137,,57.3,0.4,6.2,0.1,2.4,
1120,0,0,1,0,1,24.0,48.533333299999995,20.4833333,48.2333333,3.1265207000000004,0.63972,0.093972,0.1992255,0.14624700000000002,0.09415710000000001,1585.0,1605.0,12.642148800000001,12493.083808,115.9,10.198,0.1321788260167713,0.05,0.722,0.05472961086294361,0.02,0.104203,0.145,0.298,0.16399999999999998,4265.0,0.002,0.382,0.207,0.107,0.635,0.006999999999999999,0.009000000000000001,0.07200000000000001,0.008,0.02,0.43,0.001,0.002,0.003,0.85,0.0004,0.28600000000000003,0.113,0.7929999999999999,0.008,0.016,0.075,0.01,0.016,0.531,0.003,0.079,4.113897089835528,53.9,0.3,11.7,0.22,2.2,22.70491353859137,,56.6,0.4,7.4,0.11,2.1,
1121,0,0,1,0,1,23.0,49.716666700000005,30.9,49.5666667,4.0942308,0.557085,0.085377,0.13285650000000002,0.089961,0.0923289,1534.0,1598.0,11.736986300000002,13333.9805825,114.2,4.046,0.09699999999999999,0.05,0.624,0.024,0.02,0.101924,0.085,0.19899999999999998,0.149,6867.0,0.002,0.434,0.214,0.09699999999999999,0.6809999999999999,0.006999999999999999,0.012,0.065,0.009000000000000001,0.021,0.47100000000000003,0.002,0.002,0.003,0.8420000000000001,0.00031917001769339907,0.287,0.098,0.804,0.006,0.013999999999999999,0.066,0.011000000000000001,0.02,0.5379999999999999,0.003,0.078,4.113897089835528,63.1,0.6,7.9,0.1,3.0,22.70491353859137,,58.4,0.3,6.2,0.09,2.3,
1122,0,0,1,0,1,27.0,51.3666667,23.2,51.033333299999995,3.9322638,0.5608,0.10084800000000001,0.1276415,0.146811,0.09549810000000002,1574.0,1600.0,15.9080559,13494.827586200001,116.3,8.228,0.1321788260167713,0.05,0.626,0.024,0.02,0.105722,0.175,0.18899999999999997,0.17600000000000002,5218.0,0.002,0.41600000000000004,0.20600000000000002,0.10400000000000001,0.691,0.006,0.012,0.069,0.009000000000000001,0.02,0.43700000000000006,0.002,0.002,0.004,0.846,0.0007,0.289,0.102,0.802,0.005,0.016,0.069,0.011000000000000001,0.015,0.5479999999999999,0.003,0.084,4.113897089835528,58.0,0.8,10.1,0.23,2.5,22.70491353859137,,61.8,0.8,6.2,0.12,2.7,
1123,0,0,1,0,1,35.0,50.3833333,21.55,49.8833333,3.5812417,0.59419,0.058446000000000005,0.09285650000000001,0.148005,0.09301469999999999,1587.0,1588.0,10.4139392,12292.3433875,111.4,15.025,0.1321788260167713,0.41600000000000004,0.36,0.045,0.02,0.10206900000000001,0.191,0.136,0.102,4415.0,0.002,0.387,0.24,0.09699999999999999,0.72,0.008,0.01,0.071,0.01,0.02,0.425,0.001,0.003,0.003,0.85,0.0007,0.289,0.096,0.8109999999999999,0.006,0.016,0.07,0.011000000000000001,0.013999999999999999,0.5539999999999999,0.003,0.085,4.113897089835528,52.8,0.7,11.5,0.45,2.1,22.70491353859137,,50.0,0.9,11.6,0.17,2.1,
1124,0,0,1,0,1,35.0,53.3666667,24.5666667,53.3666667,3.0,0.57977,0.110016,0.1469445,0.129897,0.094138,1579.0,1589.0,22.5850267,11828.2225237,113.7,7.039,0.055,0.05,0.647,0.026000000000000002,0.02,0.103986,0.141,0.21899999999999997,0.192,4843.0,0.001,0.391,0.2,0.115,0.675,0.006,0.01,0.068,0.009000000000000001,0.023,0.44,0.001,0.002,0.002,0.805,0.00031917001769339907,0.278,0.113,0.7709999999999999,0.004,0.015,0.068,0.01,0.02,0.524,0.002,0.08199999999999999,4.113897089835528,47.7,0.2,9.3,0.15,2.2,22.70491353859137,,57.8,0.4,7.2,0.13,2.2,
1125,0,0,1,0,1,43.0,43.0166667,22.3333333,42.85,3.7326733,0.5489999999999999,0.066468,0.066504,0.117132,0.09698419999999999,1564.0,1584.0,18.4303861,12210.447761200001,116.0,8.222000000000001,0.07400000000000001,0.05,0.62,0.024,0.02,0.10753,0.154,0.09699999999999999,0.11599999999999999,4545.0,0.002,0.44299999999999995,0.237,0.099,0.747,0.011000000000000001,0.009000000000000001,0.095,0.011000000000000001,0.022000000000000002,0.45799999999999996,0.002,0.002,0.004,0.87,0.0003,0.29100000000000004,0.099,0.8029999999999999,0.01,0.016,0.094,0.012,0.018000000000000002,0.545,0.003,0.084,4.113897089835528,55.2,0.4,11.5,0.17,2.3,22.70491353859137,,50.8,0.6,12.6,0.2,2.1,
1126,0,0,1,0,1,37.0,52.2,24.2,51.4833333,3.7378522000000003,0.6021,0.079074,0.1408925,0.151593,0.09505,1581.0,1603.0,13.040842999999999,12830.5785124,114.3,19.938,0.19899999999999998,0.584,0.21899999999999997,0.08800000000000001,0.02,0.105288,0.177,0.209,0.138,5175.0,0.002,0.38,0.21600000000000003,0.10400000000000001,0.6779999999999999,0.006999999999999999,0.01,0.071,0.008,0.019,0.435,0.001,0.002,0.004,0.85,0.002,0.28300000000000003,0.105,0.8079999999999999,0.006,0.013999999999999999,0.07200000000000001,0.01,0.018000000000000002,0.542,0.003,0.083,4.113897089835528,52.6,1.3,11.2,0.74,2.3,22.70491353859137,,57.7,0.5,8.0,0.17,2.2,
1127,0,0,1,0,1,45.0,47.2,22.033333300000002,46.6833333,3.3272031,0.603805,0.084231,0.1571675,0.164855,0.0963434,1577.0,1595.0,16.9396598,12537.3676248,116.5,5.256,0.17,0.05,0.6809999999999999,0.028999999999999998,0.02,0.106156,0.191,0.235,0.147,4604.0,0.001,0.38,0.218,0.092,0.6679999999999999,0.012,0.011000000000000001,0.092,0.008,0.02,0.42100000000000004,0.001,0.002,0.003,0.845,0.0004,0.28600000000000003,0.09,0.805,0.01,0.02,0.091,0.01,0.015,0.55,0.003,0.084,4.113897089835528,54.2,0.4,12.8,0.57,2.0,22.70491353859137,,58.4,0.4,6.5,0.11,2.2,
1128,0,0,1,0,1,7.0,52.8666667,20.0166667,51.9166667,2.6146164,0.58882,0.129498,0.135631,0.14688800000000002,0.0933846,1617.0,1603.0,12.4203991,11996.0033306,110.7,12.448,0.273,0.05,0.655,0.035,0.02,0.10351600000000001,0.172,0.203,0.226,4002.0,0.001,0.408,0.17800000000000002,0.08800000000000001,0.672,0.006,0.01,0.064,0.008,0.02,0.429,0.001,0.002,0.003,0.852,0.0003,0.289,0.08900000000000001,0.809,0.004,0.016,0.064,0.009000000000000001,0.013999999999999999,0.544,0.002,0.083,4.113897089835528,48.3,0.8,17.2,0.75,1.9,22.70491353859137,,57.0,0.5,7.2,0.12,2.1,
1129,0,0,1,0,1,15.0,46.8833333,21.85,46.2333333,3.2443082000000003,0.5589649999999999,0.131217,0.12971300000000002,0.089698,0.0927387,1577.0,1588.0,18.6560241,12186.7276888,112.9,3.4410000000000003,0.076,0.05,0.618,0.026000000000000002,0.02,0.102828,0.086,0.196,0.22899999999999998,4438.0,0.002,0.429,0.17600000000000002,0.095,0.69,0.01,0.01,0.08,0.008,0.018000000000000002,0.48200000000000004,0.002,0.002,0.003,0.8490000000000001,0.0003,0.287,0.096,0.813,0.008,0.016,0.08,0.009000000000000001,0.018000000000000002,0.551,0.003,0.08,4.113897089835528,56.6,0.7,11.8,0.18,2.3,22.70491353859137,,56.4,0.6,7.4,0.13,2.1,
1130,0,0,1,0,1,18.0,47.033333299999995,23.0166667,46.8666667,4.3662222,0.53977,0.121476,0.1059585,0.10351500000000001,0.0958662,1537.0,1580.0,11.337313400000001,13844.750181,114.9,5.486000000000001,0.1321788260167713,0.05,0.597,0.038,0.02,0.105722,0.11699999999999999,0.159,0.212,5311.0,0.002,0.456,0.188,0.075,0.7190000000000001,0.004,0.008,0.051,0.008,0.017,0.47100000000000003,0.002,0.002,0.003,0.8540000000000001,0.0003,0.28800000000000003,0.076,0.81,0.003,0.013999999999999999,0.052000000000000005,0.009000000000000001,0.016,0.5589999999999999,0.003,0.083,4.113897089835528,55.0,0.4,12.6,0.16,2.2,22.70491353859137,,48.2,0.5,7.8,0.12,2.4,
1131,0,0,1,0,1,19.0,48.1833333,20.1666667,47.85,3.4137440999999997,0.491775,0.092253,0.022692,0.10558599999999999,0.0938173,1578.0,1590.0,10.4627108,12305.4545455,114.3,13.959000000000001,0.10800000000000001,0.431,0.217,0.08800000000000001,0.02,0.10326199999999999,0.154,0.031,0.161,4136.0,0.002,0.48200000000000004,0.21,0.092,0.779,0.009000000000000001,0.009000000000000001,0.071,0.012,0.018000000000000002,0.479,0.002,0.002,0.004,0.8759999999999999,0.0006,0.289,0.09,0.797,0.008,0.012,0.071,0.013000000000000001,0.013999999999999999,0.5760000000000001,0.003,0.078,4.113897089835528,54.7,0.6,10.5,0.17,2.5,22.70491353859137,,55.5,0.7,9.0,0.22,2.1,
1132,0,0,1,0,1,20.0,46.8833333,21.783333300000002,46.8833333,3.2299771,0.58555,0.118038,0.1115625,0.17485499999999998,0.0962003,1583.0,1589.0,25.0730242,12347.972456,117.8,10.663,0.205,0.05,0.654,0.05472961086294361,0.02,0.10568599999999999,0.225,0.165,0.20600000000000002,4483.0,0.002,0.409,0.19,0.092,0.706,0.009000000000000001,0.011000000000000001,0.067,0.01,0.02,0.41,0.001,0.003,0.003,0.8640000000000001,0.0006,0.285,0.094,0.809,0.006999999999999999,0.02,0.068,0.011000000000000001,0.016,0.55,0.003,0.08199999999999999,4.113897089835528,50.2,0.4,14.6,0.49,1.9,22.70491353859137,,58.0,0.4,6.6,0.12,2.2,
1133,0,0,1,0,1,19.0,52.716666700000005,20.9833333,52.216666700000005,6.1007958,0.52373,0.10314000000000001,0.0408655,0.076071,0.09075939999999999,1594.0,1590.0,15.625194400000002,12941.699761700002,110.9,16.745,0.098,0.0500001,0.583,0.08600000000000001,0.02,0.099754,0.10099999999999999,0.06,0.18,4526.0,0.002,0.431,0.198,0.08900000000000001,0.741,0.009000000000000001,0.008,0.079,0.009000000000000001,0.016,0.47,0.002,0.002,0.003,0.85,0.0003,0.287,0.08800000000000001,0.7829999999999999,0.008,0.017,0.078,0.01,0.008,0.5379999999999999,0.003,0.08199999999999999,4.113897089835528,45.0,0.8,17.3,0.38,2.0,22.70491353859137,,55.6,0.5,7.3,0.12,2.1,
1134,0,0,1,0,1,30.0,47.05,18.466666699999998,47.05,3.004414482568112,0.5848,0.130644,0.1304105,0.118993,0.09276160000000001,1592.0,1586.0,19.7737125,11998.9169675,113.8,7.146,0.131,0.05,0.65,0.036000000000000004,0.02,0.102177,0.131,0.196,0.228,3693.0,0.002,0.396,0.17600000000000002,0.081,0.674,0.006,0.011000000000000001,0.06,0.006999999999999999,0.018000000000000002,0.439,0.001,0.002,0.003,0.86,0.0003,0.28800000000000003,0.081,0.79,0.004,0.018000000000000002,0.06,0.008,0.013000000000000001,0.541,0.003,0.078,4.113897089835528,49.4,1.5,14.0,0.41,2.0,22.70491353859137,,56.6,0.5,8.0,0.17,2.2,
1135,0,0,1,0,1,24.0,46.05,25.033333300000002,45.8833333,3.4899160000000005,0.61754,0.136374,0.140251,0.122224,0.0963155,1557.0,1588.0,14.3736505,12873.2356858,115.4,4.364,0.131,0.05,0.6890000000000001,0.038,0.02,0.105722,0.132,0.21100000000000002,0.23800000000000002,5371.0,0.002,0.39,0.17600000000000002,0.102,0.677,0.006,0.01,0.064,0.006999999999999999,0.019,0.449,0.002,0.002,0.003,0.862,0.0003,0.289,0.10099999999999999,0.794,0.004,0.018000000000000002,0.064,0.008,0.016,0.536,0.003,0.084,4.113897089835528,50.3,1.0,12.7,0.66,2.0,22.70491353859137,,56.1,0.4,7.2,0.15,2.2,
1136,0,0,1,0,1,18.0,52.05,24.0166667,51.7333333,2.5144330000000004,0.63389,0.135228,0.200883,0.153672,0.0953818,1563.0,1587.0,13.2796992,12878.5565579,114.5,17.662,0.105,0.18899999999999997,0.5870000000000001,0.071,0.02,0.10489000000000001,0.156,0.303,0.23600000000000002,5155.0,0.001,0.35600000000000004,0.17300000000000001,0.091,0.612,0.006,0.01,0.066,0.006,0.02,0.42700000000000005,0.001,0.002,0.002,0.8690000000000001,0.0003,0.287,0.09300000000000001,0.795,0.004,0.015,0.067,0.008,0.015,0.526,0.003,0.083,4.113897089835528,55.1,1.4,11.6,0.96,2.3,22.70491353859137,,57.8,0.5,7.3,0.14,2.2,
1137,0,0,1,0,1,24.0,46.716666700000005,21.5,46.716666700000005,2.9309512000000004,0.629095,0.139239,0.172842,0.15148399999999998,0.0953451,1541.0,1579.0,20.2743802,13063.255814,114.3,6.132999999999999,0.1321788260167713,0.18600000000000003,0.584,0.036000000000000004,0.02,0.10365999999999999,0.16399999999999998,0.26,0.243,4681.0,0.001,0.326,0.172,0.095,0.628,0.005,0.01,0.115,0.006999999999999999,0.021,0.406,0.001,0.002,0.003,0.836,0.0003,0.287,0.09300000000000001,0.7879999999999999,0.003,0.018000000000000002,0.113,0.009000000000000001,0.02,0.5329999999999999,0.003,0.086,4.113897089835528,52.2,1.0,9.7,0.93,2.0,22.70491353859137,,56.9,0.4,7.2,0.14,2.2,
1138,0,0,1,0,1,20.0,46.35,17.716666699999998,46.1666667,2.7775229,0.61908,0.128352,0.149766,0.111784,0.0901944,1603.0,1582.0,7.2994819,12872.6246472,110.6,1.1740000000000002,0.084,0.05,0.6920000000000001,0.048,0.02,0.099392,0.11199999999999999,0.226,0.22399999999999998,3801.0,0.001,0.363,0.179,0.10800000000000001,0.645,0.006,0.009000000000000001,0.073,0.006999999999999999,0.019,0.435,0.001,0.002,0.003,0.852,0.0002,0.28800000000000003,0.10800000000000001,0.7909999999999999,0.004,0.018000000000000002,0.073,0.009000000000000001,0.013999999999999999,0.545,0.003,0.083,4.113897089835528,50.9,1.3,14.8,0.68,2.0,22.70491353859137,,52.3,0.3,13.6,0.12,2.0,
1139,0,1,0,0,1,11.0,45.6833333,27.733333299999998,45.6833333,3.5625,0.47031999999999996,0.150126,0.080735,0.137648,0.039325,1570.0,1640.0,17.1479407,13406.9711538,108.7,26.022,0.105,0.05,0.507,0.037000000000000005,0.02,0.049298,0.18,0.11900000000000001,0.262,6197.0,0.002,0.389,0.29100000000000004,0.083,0.718,0.005,0.009000000000000001,0.065,0.009000000000000001,0.019,0.45399999999999996,0.001,0.002,0.003,0.768,0.0003,0.418,0.083,0.799,0.004,0.011000000000000001,0.066,0.01,0.013999999999999999,0.56,0.003,0.038,4.113897089835528,60.6,0.9,11.1,0.62,2.8,22.70491353859137,,52.3,1.0,9.5,0.25,2.0,
