,МАРКА,t вып-обр,t обработка,t под током,t продувка,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,температура последняя,Ar (интенс.),эл. энергия (интенс.),произв жидкая сталь,произв количество обработок,расход газ Ar,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  FeV-80,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  фх850А,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Cu_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2,isna_SiO2,isna_Al2O3
1766,Э76ХФ,31.0,50.55,15.133333300000002,50.55,0.339765,0.098363,0.100857,0.11346800000000001,0.0387863,1581.0,1580.0,13.544572599999999,12064.7577093,113.0,1.0,22.183000000000003,0.03200000000000001,0.05,0.355,0.042,0.02,0.048647,0.135,0.151,0.16699999999999998,3043.0,0.002,0.485,0.33899999999999997,0.113,0.6990000000000001,0.008,0.011000000000000001,0.075,0.011000000000000001,0.022000000000000002,0.45899999999999996,0.001,0.002,0.003,0.782,0.0004,0.419,0.11199999999999999,0.785,0.006999999999999999,0.012,0.075,0.011000000000000001,0.013999999999999999,0.562,0.002,0.036000000000000004,3.7037819799204614,50.2,0.7,7.4,0.15,2.6,19.28380251216387,4.929275903906723,61.0,0.5,6.2,0.08,2.6,23.501577569229212,True,True
1767,Э76ХФ,35.0,42.0666667,11.0,42.0666667,0.31692,0.061256,0.086406,0.130667,0.0384402,1587.0,1576.0,9.5961577,11672.727272700002,112.2,1.0,13.32,0.053,0.05,0.33399999999999996,0.066,0.02,0.048213,0.168,0.127,0.10400000000000001,2140.0,0.002,0.521,0.36700000000000005,0.096,0.711,0.006999999999999999,0.011000000000000001,0.065,0.013000000000000001,0.019,0.45399999999999996,0.001,0.002,0.003,0.777,0.0002,0.41700000000000004,0.094,0.782,0.006,0.012,0.065,0.013000000000000001,0.016,0.5720000000000001,0.002,0.037000000000000005,3.7356453017698232,60.1,0.5,10.5,0.13,2.6,23.240330590724163,4.551308491291889,61.8,0.3,7.9,0.11,2.7,22.955707336423263,True,True
1768,Э76ХФ,25.0,44.7,17.6833333,44.7,0.37296,0.120156,0.155862,0.137878,0.038930599999999996,1571.0,1576.0,11.3746967,12238.642789799998,114.2,1.0,16.408,0.03300000000000001,0.05,0.39,0.040999999999999995,0.02,0.048827999999999996,0.15,0.23600000000000002,0.204,3607.0,0.002,0.45399999999999996,0.319,0.107,0.6579999999999999,0.006999999999999999,0.011000000000000001,0.07,0.008,0.023,0.452,0.002,0.002,0.003,0.778,0.0002,0.419,0.109,0.794,0.006999999999999999,0.012,0.07,0.01,0.018000000000000002,0.575,0.003,0.037000000000000005,4.043641741443613,52.2,0.4,8.6,0.16,2.7,19.4466757435773,5.085718798429913,61.0,0.6,5.9,0.08,2.6,23.560493980235204,True,True
1769,Э76ХФ,30.0,45.2,16.8333333,45.2,0.3979,0.098952,0.11871300000000001,0.12978499999999998,0.038267199999999994,1579.0,1579.0,8.1751678,12204.3564356,112.5,1.0,12.181,0.040999999999999995,0.05,0.426,0.07400000000000001,0.02,0.047996,0.153,0.17800000000000002,0.168,3424.0,0.001,0.473,0.336,0.095,0.68,0.011000000000000001,0.011000000000000001,0.071,0.009000000000000001,0.021,0.444,0.001,0.002,0.003,0.778,0.0002,0.41700000000000004,0.094,0.785,0.01,0.012,0.071,0.01,0.017,0.57,0.003,0.036000000000000004,3.7489291846530506,59.7,0.4,9.0,0.16,2.3,25.445145811146965,4.510599943839403,62.1,0.9,3.6,0.08,2.4,25.9159418425586,True,True
1770,Э76ХФ,34.0,42.3833333,17.6833333,42.3833333,0.3929,0.120156,0.11979400000000001,0.125602,0.039738199999999994,1567.0,1576.0,9.460794300000002,12815.457115899999,114.5,1.0,13.366,0.04000000000000001,0.05,0.41600000000000004,0.07400000000000001,0.02,0.049841,0.146,0.18,0.204,3777.0,0.002,0.46799999999999997,0.318,0.09699999999999999,0.677,0.008,0.01,0.065,0.009000000000000001,0.021,0.446,0.001,0.002,0.003,0.782,0.0003,0.41600000000000004,0.095,0.784,0.006999999999999999,0.012,0.065,0.009000000000000001,0.017,0.573,0.003,0.037000000000000005,3.858936606132544,59.2,0.3,9.7,0.21,2.3,25.24207014904936,4.377439329940201,60.2,0.9,3.7,0.08,2.2,27.05694302142166,True,True
1771,Э76ХФ,35.0,47.8666667,20.216666699999998,47.8666667,0.350455,0.160403,0.038939,0.076329,0.0370848,1559.0,1584.0,8.957415300000001,13322.6710635,109.2,1.0,14.093,0.052,0.05,0.359,0.081,0.02,0.046513,0.10300000000000001,0.055999999999999994,0.27699999999999997,4489.0,0.002,0.46,0.327,0.094,0.748,0.008,0.01,0.068,0.011000000000000001,0.023,0.48100000000000004,0.001,0.002,0.003,0.772,0.0002,0.467,0.09300000000000001,0.7859999999999999,0.006999999999999999,0.012,0.068,0.011000000000000001,0.017,0.561,0.002,0.036000000000000004,3.6,58.1,0.4,8.6,0.13,2.6,22.1,3.8,62.3,0.5,4.7,0.08,2.7,23.3,False,False
1772,Э76ХФ,43.0,17.033333300000002,20.5,17.033333300000002,0.402266,0.12584,0.13811174999999998,0.127331,0.040082099999999996,1568.0,1585.0,4.716634099999999,13041.0785091,112.1,1.0,1.339,0.116,0.05,0.42,0.0,0.02,0.050492,0.14,0.213,0.223,4437.0,0.001,0.384,0.335,0.102,0.696,0.006999999999999999,0.009000000000000001,0.068,0.011000000000000001,0.022000000000000002,0.442,0.001,0.002,0.003,0.78,0.0001,0.40700000000000003,0.10099999999999999,0.792,0.006,0.012,0.068,0.012,0.016,0.557,0.002,0.036000000000000004,3.59251285739286,56.1,0.3,12.8,0.13,2.2,24.926090888226508,4.120203793314052,55.5,0.5,12.6,0.16,2.2,25.726699685149985,True,True
1773,Э76ХФ,10.0,27.683333299999997,20.5,27.683333299999997,0.006999999999999999,0.12584,0.13811174999999998,0.127331,0.039392199999999995,1538.0,1538.0,7.712229300000001,13041.0785091,114.4,1.0,6.428999999999999,0.116,0.01,0.42,0.05,0.01,0.049407,0.14,0.213,0.223,4437.0,0.001,0.451,0.32,0.098,0.638,0.006999999999999999,0.012,0.07400000000000001,0.008,0.022000000000000002,0.441,0.001,0.002,0.004,0.754,0.0005,0.415,0.09699999999999999,0.772,0.006,0.012,0.073,0.009000000000000001,0.013000000000000001,0.5820000000000001,0.003,0.036000000000000004,2.4140214706359115,53.3,0.6,12.7,0.39,2.1,24.778645998920872,3.1759037293655696,56.0,0.7,13.4,0.18,2.1,26.845119050311773,True,True
1774,Э76ХФ,6.0,86.91666670000001,26.8,84.4,0.378815,0.111108,0.129449,0.142905,0.0379794,1603.0,1625.0,7.121960400000001,13703.7313433,110.7,1.0,18.891,0.05099999999999999,0.05,0.39899999999999997,0.076,0.02,0.047635000000000004,0.16899999999999998,0.19399999999999998,0.19699999999999998,6121.0,0.001,0.484,0.319,0.124,0.67,0.009000000000000001,0.011000000000000001,0.071,0.01,0.021,0.43799999999999994,0.001,0.003,0.003,0.7509999999999999,0.0004,0.41700000000000004,0.124,0.787,0.008,0.013000000000000001,0.071,0.011000000000000001,0.015,0.565,0.002,0.037000000000000005,3.7649341034196677,49.8,0.4,10.3,0.15,2.3,21.74298264584668,4.626364429056211,48.8,0.7,9.0,0.1,2.5,19.750895388868045,True,True
1776,Э76ХФ,43.0,55.033333299999995,22.7,55.033333299999995,0.3758,0.12408,0.152238,0.156077,0.039161,1569.0,1598.0,8.118534200000001,14251.9823789,114.4,1.0,14.892999999999999,0.048,0.05,0.392,0.057999999999999996,0.02,0.049117,0.18,0.22899999999999998,0.22,5392.0,0.002,0.45,0.312,0.10800000000000001,0.655,0.008,0.01,0.07400000000000001,0.008,0.018000000000000002,0.436,0.001,0.002,0.003,0.769,0.0004,0.418,0.10800000000000001,0.7859999999999999,0.006999999999999999,0.011000000000000001,0.07400000000000001,0.009000000000000001,0.013000000000000001,0.568,0.003,0.037000000000000005,4.008234391474918,59.3,0.4,12.9,0.17,2.6,23.028774722368965,4.650194032214453,60.4,0.4,6.8,0.1,2.6,23.301452763347225,True,True
1777,Э76ХФ,54.0,44.716666700000005,17.55,44.716666700000005,0.35928000000000004,0.143256,0.177897,0.134228,0.0376621,1592.0,1597.0,9.4770034,13196.5811966,107.9,1.0,14.126,0.048,0.05,0.36700000000000005,0.049,0.02,0.047237,0.135,0.271,0.254,3860.0,0.002,0.47700000000000004,0.285,0.107,0.626,0.006999999999999999,0.011000000000000001,0.079,0.008,0.021,0.43799999999999994,0.001,0.002,0.003,0.7709999999999999,0.0002,0.41600000000000004,0.102,0.787,0.006,0.013000000000000001,0.07400000000000001,0.009000000000000001,0.016,0.568,0.002,0.037000000000000005,3.973551976325865,52.4,0.5,8.6,0.11,2.5,21.0830210955852,4.890171620782554,52.3,0.3,8.0,0.1,2.7,19.11279488759222,True,True
1778,Э76ХФ,32.0,46.033333299999995,20.7,46.033333299999995,0.380855,0.139308,0.187875,0.144587,0.039017500000000004,1557.0,1587.0,8.8685714,13843.4782609,112.7,1.0,13.192,0.116,0.05,0.39399999999999996,0.11699999999999999,0.02,0.048937,0.147,0.28600000000000003,0.247,4776.0,0.001,0.42200000000000004,0.298,0.094,0.625,0.009000000000000001,0.011000000000000001,0.066,0.006999999999999999,0.028999999999999998,0.441,0.001,0.002,0.003,0.7959999999999999,0.0006,0.419,0.094,0.789,0.008,0.013000000000000001,0.067,0.008,0.02,0.57,0.003,0.037000000000000005,3.1945383940292675,52.1,0.5,6.8,0.13,2.7,19.610229057449324,4.33946088510569,62.9,0.9,5.6,0.08,2.4,26.30556551739214,True,True
1779,Э76ХФ,26.0,44.8666667,19.0166667,44.8666667,0.25295,0.131976,0.173751,0.140781,0.039017500000000004,1574.0,1583.0,10.5298663,13478.702892200003,113.2,1.0,15.748,0.052,0.05,0.23800000000000002,0.063,0.02,0.048937,0.147,0.264,0.23399999999999999,4272.0,0.002,0.555,0.304,0.105,0.637,0.006,0.011000000000000001,0.066,0.01,0.026000000000000002,0.44799999999999995,0.002,0.002,0.003,0.758,0.0006,0.41700000000000004,0.105,0.785,0.006,0.012,0.066,0.011000000000000001,0.02,0.5710000000000001,0.003,0.037000000000000005,3.8311443603352746,59.2,0.6,8.6,0.12,2.7,22.285946037362322,4.294548509377292,61.3,0.7,4.5,0.1,2.6,23.711024155905015,True,True
1780,Э76ХФ,29.0,43.216666700000005,14.55,43.216666700000005,0.359185,0.14382,0.12066800000000001,0.130951,0.037489,1590.0,1585.0,6.9807603,13447.422680399999,109.2,1.0,9.998,0.053,0.05,0.369,0.111,0.02,0.04702,0.154,0.18100000000000002,0.255,3261.0,0.001,0.441,0.29,0.105,0.672,0.006999999999999999,0.011000000000000001,0.067,0.009000000000000001,0.024,0.43700000000000006,0.001,0.002,0.003,0.7559999999999999,0.0004,0.41700000000000004,0.106,0.782,0.006999999999999999,0.013000000000000001,0.068,0.01,0.017,0.564,0.003,0.036000000000000004,3.3037247361304978,54.3,0.4,10.5,0.1,2.1,24.97745249992513,3.892792027444524,54.9,0.5,14.3,0.1,2.2,25.232762603959547,True,True
1781,Э76ХФ,32.0,44.35,20.6666667,44.35,0.342955,0.10434,0.101329,0.095698,0.037806400000000004,1566.0,1599.0,12.8661345,14089.3548387,110.4,1.0,18.805999999999997,0.06300000000000001,0.05,0.35700000000000004,0.08,0.02,0.047418,0.107,0.153,0.185,4853.0,0.002,0.478,0.327,0.10400000000000001,0.696,0.006,0.011000000000000001,0.07,0.012,0.021,0.475,0.002,0.003,0.004,0.774,0.0003,0.41600000000000004,0.10300000000000001,0.7809999999999999,0.006,0.012,0.07,0.012,0.017,0.573,0.003,0.036000000000000004,3.9316497602711777,59.6,0.4,9.6,0.11,2.6,22.744575086291377,4.732684481850289,64.3,0.5,4.9,0.07,2.7,23.850747933202886,True,True
1782,Э76ХФ,32.0,48.3166667,15.15,48.3166667,0.31468,0.09136799999999999,0.140665,0.110133,0.038930599999999996,1570.0,1588.0,12.727725900000001,16241.584158399999,113.4,1.0,20.428,0.116,0.05,0.32299999999999995,0.057,0.02,0.048827999999999996,0.113,0.214,0.162,4101.0,0.002,0.49200000000000005,0.344,0.095,0.675,0.006999999999999999,0.012,0.08,0.013000000000000001,0.02,0.462,0.001,0.003,0.005,0.7659999999999999,0.0003,0.41600000000000004,0.09300000000000001,0.7829999999999999,0.006,0.012,0.079,0.013999999999999999,0.013000000000000001,0.564,0.003,0.037000000000000005,2.6,56.3,0.2,8.5,0.08,3.0,18.7,3.9,50.5,0.4,4.7,0.08,2.6,19.5,False,False
1783,Э76ХФ,36.0,43.3666667,23.3166667,43.3666667,0.31790999999999997,0.121824,0.14793800000000001,0.088443,0.0370848,1539.0,1587.0,11.415680199999999,13427.305218000001,108.8,1.0,16.502,0.116,0.05,0.321,0.08800000000000001,0.02,0.046513,0.076,0.22699999999999998,0.21600000000000003,5218.0,0.002,0.47600000000000003,0.312,0.10300000000000001,0.662,0.005,0.011000000000000001,0.063,0.011000000000000001,0.022000000000000002,0.483,0.002,0.003,0.003,0.763,0.0003,0.42,0.102,0.794,0.005,0.012,0.063,0.013000000000000001,0.018000000000000002,0.5760000000000001,0.003,0.037000000000000005,3.8,48.6,1.3,7.7,0.3,2.5,19.5,3.4,59.9,0.3,8.3,0.15,2.3,26.3,False,False
1784,Э76ХФ,35.0,43.85,18.35,43.85,0.35608,0.099264,0.210519,0.154524,0.03864190000000001,1577.0,1597.0,9.794982899999999,13477.9291553,114.1,1.0,14.317,0.116,0.05,0.37,0.075,0.02,0.048466,0.153,0.321,0.17600000000000002,4122.0,0.001,0.465,0.335,0.10099999999999999,0.614,0.009000000000000001,0.011000000000000001,0.08,0.01,0.021,0.435,0.001,0.003,0.003,0.768,0.0003,0.419,0.1,0.7929999999999999,0.008,0.013000000000000001,0.08,0.011000000000000001,0.015,0.573,0.003,0.037000000000000005,4.0,50.9,0.4,8.1,0.13,2.5,20.2,4.9,56.1,0.5,9.6,0.13,2.2,25.5,False,False
1785,Э76ХФ,33.0,42.216666700000005,20.65,42.216666700000005,0.30104000000000003,0.128592,0.121952,0.131297,0.0381786,1546.0,1581.0,19.100039499999998,14045.5205811,115.4,1.0,26.878,0.116,0.05,0.3,0.10099999999999999,0.02,0.047924,0.154,0.183,0.228,4834.0,0.002,0.498,0.311,0.10400000000000001,0.696,0.008,0.012,0.075,0.013000000000000001,0.02,0.45299999999999996,0.002,0.004,0.003,0.755,0.0004,0.419,0.105,0.7929999999999999,0.006999999999999999,0.012,0.076,0.013999999999999999,0.015,0.5660000000000001,0.003,0.037000000000000005,3.5,59.5,0.3,8.6,0.19,2.3,25.4,4.3,61.5,0.9,3.8,0.11,2.4,25.2,False,False
1786,Э76ХФ,31.0,44.7,22.716666699999998,44.7,0.349945,0.113364,0.308082,0.152051,0.037611,1544.0,1584.0,11.638255000000001,14410.564930300001,111.3,1.0,17.340999999999998,0.116,0.05,0.35600000000000004,0.11800000000000001,0.02,0.047381,0.10800000000000001,0.475,0.201,5456.0,0.002,0.511,0.319,0.10400000000000001,0.523,0.012,0.011000000000000001,0.087,0.011000000000000001,0.02,0.42700000000000005,0.001,0.003,0.003,0.743,0.0004,0.41600000000000004,0.102,0.782,0.011000000000000001,0.013999999999999999,0.087,0.012,0.016,0.579,0.003,0.037000000000000005,3.568202191344306,62.3,0.9,5.7,0.12,2.7,23.920959415267685,3.539041304182711,58.9,0.6,6.1,0.11,2.2,26.58477761446447,True,True
1787,Э76ХФ,44.0,41.7,19.783333300000002,41.7,0.387415,0.11449200000000001,0.153099,0.104067,0.037926999999999995,1559.0,1591.0,19.276383499999998,14330.2443134,110.8,1.0,26.414,0.116,0.05,0.408,0.102,0.02,0.047779,0.099,0.23399999999999999,0.203,4725.0,0.002,0.45399999999999996,0.318,0.096,0.6629999999999999,0.006,0.012,0.065,0.01,0.021,0.46399999999999997,0.001,0.002,0.004,0.767,0.0004,0.418,0.095,0.795,0.005,0.013999999999999999,0.066,0.011000000000000001,0.015,0.569,0.003,0.037000000000000005,3.964151779710977,57.6,0.4,9.1,0.11,2.6,22.503466823681933,4.405733260640807,59.0,0.8,8.7,0.12,2.3,25.603908979974577,True,True
1788,Э76ХФ,33.0,44.533333299999995,17.35,44.533333299999995,0.366315,0.124644,0.23380900000000002,0.147351,0.0388462,1605.0,1596.0,16.6297904,13331.4121037,109.9,1.0,24.686,0.13300000000000003,0.05,0.377,0.059000000000000004,0.02,0.048937,0.13699999999999998,0.358,0.221,3855.0,0.002,0.48700000000000004,0.308,0.099,0.583,0.011000000000000001,0.012,0.087,0.01,0.025,0.43799999999999994,0.001,0.002,0.003,0.755,0.0002,0.41700000000000004,0.099,0.7809999999999999,0.01,0.015,0.087,0.01,0.015,0.57,0.002,0.037000000000000005,3.710784596682318,52.5,0.7,10.8,0.13,2.2,23.932003655980317,3.9563462315479763,59.0,0.4,7.8,0.11,2.3,25.723661776351946,True,True
1789,Э76ХФ,37.0,41.5,17.65,41.5,0.34493,0.11956800000000001,0.143523,0.11533299999999999,0.038558800000000004,1570.0,1588.0,10.6374194,13094.617563700001,114.5,1.0,14.655999999999999,0.116,0.05,0.355,0.10400000000000001,0.02,0.048575,0.12300000000000001,0.218,0.212,3852.0,0.002,0.509,0.319,0.09699999999999999,0.6759999999999999,0.008,0.011000000000000001,0.075,0.011000000000000001,0.019,0.47200000000000003,0.002,0.003,0.004,0.7609999999999999,0.0008,0.415,0.096,0.778,0.006999999999999999,0.013000000000000001,0.075,0.012,0.015,0.584,0.003,0.036000000000000004,4.3088990309613155,59.1,1.5,8.4,0.12,2.8,21.169930444349518,5.083174552553918,60.7,0.7,5.9,0.09,2.7,22.38043637371117,True,True
1790,Э76ХФ,40.0,44.8666667,20.6666667,44.8666667,0.324305,0.08742,0.10459700000000001,0.096435,0.038558800000000004,1566.0,1590.0,12.2887772,13926.7741935,114.4,1.0,18.340999999999998,0.07400000000000001,0.05,0.337,0.12300000000000001,0.02,0.048575,0.109,0.158,0.155,4797.0,0.002,0.52,0.345,0.11599999999999999,0.7040000000000001,0.011000000000000001,0.012,0.087,0.015,0.02,0.48200000000000004,0.002,0.003,0.004,0.7490000000000001,0.0003,0.41700000000000004,0.11599999999999999,0.787,0.011000000000000001,0.012,0.086,0.015,0.012,0.564,0.003,0.036000000000000004,4.249464498299155,59.6,0.5,7.1,0.07,2.8,21.375025449957057,4.627453558875081,58.8,0.8,8.9,0.1,2.4,24.46552674701087,True,True
1791,Э76ХФ,42.0,44.216666700000005,17.15,44.216666700000005,0.279885,0.097572,0.06015,0.095954,0.0378127,1578.0,1592.0,10.9339124,14613.4110787,112.4,1.0,16.085,0.116,0.05,0.282,0.115,0.02,0.047635000000000004,0.126,0.08800000000000001,0.17300000000000001,4177.0,0.002,0.5720000000000001,0.336,0.09699999999999999,0.7440000000000001,0.012,0.01,0.077,0.013999999999999999,0.016,0.491,0.002,0.004,0.004,0.7509999999999999,0.0007,0.418,0.09699999999999999,0.7879999999999999,0.011000000000000001,0.012,0.077,0.015,0.013000000000000001,0.583,0.003,0.037000000000000005,4.1105070162079,63.7,0.7,6.9,0.1,2.8,23.214873890787878,3.914961401542519,57.6,0.8,6.5,0.14,2.1,26.95543984761764,True,True
1792,Э76ХФ,44.0,49.4,24.1833333,49.4,0.341465,0.12238800000000001,0.043524,0.064844,0.03746819999999999,1588.0,1632.0,11.2759364,14037.767057199999,108.6,1.0,18.314,0.06300000000000001,0.05,0.354,0.09699999999999999,0.02,0.047201,0.084,0.064,0.217,5658.0,0.002,0.51,0.312,0.08900000000000001,0.754,0.013000000000000001,0.01,0.083,0.012,0.013999999999999999,0.509,0.002,0.003,0.004,0.767,0.0004,0.419,0.09,0.784,0.013000000000000001,0.012,0.084,0.013000000000000001,0.011000000000000001,0.573,0.003,0.037000000000000005,4.0353108745524535,61.5,0.5,7.4,0.09,2.5,23.77084217174917,4.861709572181543,62.9,0.6,5.2,0.07,2.7,23.150807950164616,True,True
1793,Э76ХФ,55.0,51.533333299999995,21.55,51.533333299999995,0.32379,0.12295199999999999,0.096756,0.063092,0.03746819999999999,1568.0,1598.0,9.565265199999999,13425.522041799999,108.7,1.0,16.430999999999997,0.116,0.05,0.33,0.08900000000000001,0.02,0.047201,0.06,0.14800000000000002,0.218,4822.0,0.002,0.509,0.311,0.098,0.7140000000000001,0.008,0.011000000000000001,0.07400000000000001,0.009000000000000001,0.016,0.506,0.002,0.003,0.004,0.78,0.0006,0.418,0.095,0.79,0.006999999999999999,0.012,0.07400000000000001,0.01,0.012,0.573,0.003,0.036000000000000004,4.099590869799346,54.8,0.7,5.3,0.09,2.8,19.55092451306235,4.330160548136267,59.0,1.0,3.0,0.09,2.1,27.399010115453265,True,True
1794,Э76ХФ,58.0,44.6833333,19.3333333,50.7333333,0.390725,0.14043599999999998,0.134825,0.11950699999999999,0.0393915,1593.0,1601.0,9.5996058,13444.137931000001,112.5,1.0,16.234,0.116,0.05,0.408,0.065,0.02,0.049624,0.133,0.204,0.249,4332.0,0.002,0.46799999999999997,0.298,0.091,0.68,0.013000000000000001,0.012,0.078,0.008,0.017,0.456,0.001,0.002,0.003,0.778,0.0007,0.41700000000000004,0.091,0.794,0.012,0.013000000000000001,0.077,0.009000000000000001,0.015,0.57,0.003,0.037000000000000005,4.191434792209485,60.8,0.3,8.7,0.08,2.6,23.700988912406878,4.423132684644588,59.0,0.4,7.5,0.14,2.2,26.585840375236963,True,True
1795,Э76ХФ,30.0,48.35,23.35,48.35,0.370795,0.129156,0.198768,0.116014,0.0394201,1574.0,1603.0,8.9852742,13770.449678799998,112.5000001,1.0,14.339,0.116,0.05,0.38299999999999995,0.09300000000000001,0.02,0.04966,0.102,0.305,0.22899999999999998,5359.0,0.002,0.48700000000000004,0.308,0.091,0.625,0.006999999999999999,0.011000000000000001,0.066,0.008,0.018000000000000002,0.466,0.001,0.002,0.003,0.772,0.0003,0.418,0.091,0.7909999999999999,0.006,0.013000000000000001,0.066,0.009000000000000001,0.016,0.5760000000000001,0.003,0.037000000000000005,3.8788270134546234,61.3,0.8,8.3,0.09,2.7,23.029813283848583,4.3007904682139655,61.1,1.0,2.8,0.1,2.4,25.43920631906834,True,True
1796,Э76ХФ,34.0,47.7,15.516666699999998,47.7,0.44128500000000004,0.162996,0.192547,0.132973,0.0395352,1594.0,1594.0,8.2446541,13077.5510204,113.8,1.0,13.109000000000002,0.116,0.05,0.46399999999999997,0.154,0.02,0.049805,0.131,0.294,0.289,3382.0,0.002,0.418,0.27899999999999997,0.1,0.626,0.013999999999999999,0.01,0.091,0.011000000000000001,0.016,0.444,0.001,0.002,0.004,0.773,0.0003,0.414,0.10300000000000001,0.782,0.013000000000000001,0.011000000000000001,0.092,0.011000000000000001,0.009000000000000001,0.56,0.003,0.036000000000000004,3.810315333678763,60.9,0.3,10.0,0.13,2.6,23.402883803233134,4.821936679652253,63.6,0.3,6.8,0.07,2.7,23.502980558344547,True,True
1799,Э90ХАФ,39.0,50.3666667,22.5166667,50.033333299999995,0.498855,0.049068,0.133992,0.072604,0.0894414,1582.0,1587.0,7.343694800000001,13531.310140600002,109.1000001,1.0,11.55,0.052,0.113,0.504,0.1400001,0.020000099999999996,0.098235,0.0600001,0.206,0.087,5078.0,0.002,0.43799999999999994,0.244,0.10400000000000001,0.672,0.008,0.01,0.076,0.009000000000000001,0.024,0.47100000000000003,0.002,0.002,0.003,0.8440000000000001,0.0002,0.289,0.10400000000000001,0.792,0.006,0.013999999999999999,0.075,0.011000000000000001,0.018000000000000002,0.552,0.003,0.084,4.0,62.1,0.3,7.0,0.17,2.6,23.8,3.6,62.1,0.3,7.1,0.17,2.7,23.0,False,False
1800,другие,13.0,4.35,20.5,4.35,0.402266,0.11773800000000001,0.13811174999999998,0.127331,0.040082099999999996,1568.0,1585.0,7.9448276,13041.0785091,112.1,1.0,0.5760000000000001,0.128,0.05,0.42,0.0,0.02,0.050492,0.14,0.213,0.20600000000000002,4437.0,0.001,0.46299999999999997,0.225,0.095,0.59,0.03,0.009000000000000001,0.075,0.011000000000000001,0.023,0.368,0.001,0.002,0.003,0.8370000000000001,0.0009,0.282,0.096,0.785,0.027999999999999997,0.016,0.07400000000000001,0.012,0.017,0.5479999999999999,0.002,0.084,3.5,49.4,1.2,23.2,0.59,1.9,25.5,5.9,58.3,0.5,10.2,0.15,2.4,24.4,False,False
1803,другие,6.0,43.6833333,17.0166667,43.5166667,0.506075,0.088548,0.21452,0.141784,0.0920558,1609.0,1582.0,12.2155662,12510.088148899998,113.5,1.0,9.199,0.04000000000000001,0.05,0.557,0.047,0.02,0.101888,0.136,0.32799999999999996,0.157,3548.0,0.001,0.47700000000000004,0.21899999999999997,0.092,0.611,0.023,0.009000000000000001,0.073,0.011000000000000001,0.019,0.413,0.001,0.002,0.002,0.851,0.0002,0.293,0.091,0.7879999999999999,0.02,0.013000000000000001,0.07200000000000001,0.012,0.016,0.53,0.002,0.08199999999999999,3.7,48.3,0.4,11.4,0.12,2.0,24.5,3.8,57.5,0.4,7.2,0.07,2.2,26.6,False,False
1805,Э90ХАФ,6.0,40.7,21.9833333,40.533333299999995,0.5165649999999999,0.09306,0.188972,0.08153200000000001,0.0915456,1563.0,1576.0,11.7141536,13938.7414708,112.0,1.0,7.035,0.052,0.05,0.57,0.069,0.02,0.10116499999999999,0.052000000000000005,0.292,0.165,5107.0,0.001,0.424,0.20800000000000002,0.09,0.613,0.018000000000000002,0.01,0.075,0.006999999999999999,0.02,0.452,0.001,0.002,0.003,0.84,0.0004,0.29100000000000004,0.09300000000000001,0.7929999999999999,0.018000000000000002,0.015,0.078,0.008,0.017,0.563,0.003,0.084,3.1,57.8,0.6,12.1,0.28,2.2,26.3,4.1,57.3,0.5,4.6,0.07,2.6,21.7,False,False
1806,Э90ХАФ,7.0,40.7,17.216666699999998,40.533333299999995,0.40174,0.083472,0.137322,0.061942,0.0908666,1583.0,1583.0,10.70317,13096.611810299999,111.4,1.0,6.19,0.04000000000000001,0.05,0.43200000000000005,0.11599999999999999,0.02,0.10022400000000001,0.042,0.212,0.14800000000000002,3758.0,0.002,0.498,0.215,0.094,0.672,0.01,0.01,0.067,0.008,0.021,0.469,0.002,0.002,0.003,0.847,0.0001,0.28800000000000003,0.092,0.79,0.008,0.013999999999999999,0.067,0.009000000000000001,0.015,0.541,0.003,0.083,3.1886802290390923,62.1,0.2,8.3,0.11,2.6,23.90289212422764,3.909628667091787,61.1,0.5,3.6,0.07,2.3,26.470695123040855,True,True
