;t вып-обр;t обработка;ПСН гр.;чист расход C;чист расход Si;чист расход V;температура первая;температура последняя;Ar (интенс.);эл. энергия (интенс.);произв жидкая сталь;произв количество обработок;расход газ Ar;сыпуч известь РП;сыпуч кокс пыль УСТК;сыпуч  шпат плав.;ферспл CaC2;ферспл  FeV-80;ферспл  фх850А;эл. энергия;химсталь первый Al_1;химсталь первый C_1;химсталь первый Cr_1;химсталь первый Cu_1;химсталь первый Mn_1;химсталь первый N_1;химсталь первый Ni_1;химсталь первый P_1;химсталь первый S_1;химсталь первый Si_1;химсталь первый Ti_1;химсталь первый V_1;химсталь последний Al;химсталь последний C;химсталь последний Ca;химсталь последний Cr;химсталь последний Mn;химсталь последний Mo;химсталь последний N;химсталь последний P;химсталь последний S;химсталь последний Si;химсталь последний Ti;химсталь последний V;химшлак первый Al2O3_1;химшлак первый CaO_1;химшлак первый FeO_1;химшлак первый MgO_1;химшлак первый MnO_1;химшлак первый R_1;химшлак первый SiO2_1;химшлак последний Al2O3;химшлак последний CaO;химшлак последний FeO;химшлак последний MgO;химшлак последний MnO;химшлак последний R;химшлак последний SiO2
784;11,0;44,0166667;2,3995772;0,319855;0,096165;0,0389037;1581,0;1642,0;17,472472500000002;12657,366205700002;112,6;1,0;25,636;0,161;0,05;0,081;0,02;0,048575;0,257;5847,0;0,002;0,471;0,297;0,105;0,7;0,009000000000000001;0,058;0,01;0,016;0,482;0,002;0,003;0,004;0,762;0,0003;0,417;0,782;0,004;0,01;0,011;0,01;0,539;0,003;0,037000000000000005;3,8;54,8;0,4;8,3;0,12;3,0;18,1;5,9;61,4;0,8;6,8;0,08;2,8;22,0
785;9,0;45,2;2,3051559;0,33377;0,067938;0,0391936;1587,0;1603,0;19,804646;11991,8735892;113,1;1,0;29,839;0,052000000000000005;0,05;0,076;0,02;0,048937;0,258;4427,0;0,002;0,467;0,297;0,112;0,66;0,01;0,064;0,008;0,015;0,502;0,002;0,002;0,004;0,767;0,0003;0,418;0,7859999999999999;0,005;0,011;0,009000000000000001;0,011;0,573;0,004;0,037000000000000005;4,3;61,2;0,5;9,3;0,1;2,9;20,8;5,5;58,9;0,5;7,5;0,08;2,7;21,9
786;45,0;47,5333333;3,3419936000000003;0,46975;0,170622;0,0394724;1555,0;1570,0;13,2193922;14103,0927835;115,8;1,0;20,905;0,075;0,05;0,043;0,02;0,05013;0,21;4940,0;0,002;0,401;0,314;0,121;0,642;0,012;0,08;0,009000000000000001;0,022;0,42;0,001;0,003;0,004;0,7559999999999999;0,0003;0,418;0,7909999999999999;0,006999999999999999;0,014;0,01;0,014;0,588;0,003;0,037000000000000005;4,6;45,2;0,3;11,8;0,25;2,1;21,6;5,6;59,0;0,6;8,0;0,07;2,5;23,6
787;48,0;41,3833333;3,1505824;0,42519;0,117651;0,039159;1553,0;1574,0;8,7133712;12367,4008811;114,9;1,0;11,947;0,08199999999999999;0,05;0,049;0,02;0,049732;0,166;4679,0;0,002;0,398;0,342;0,119;0,691;0,011;0,073;0,014;0,025;0,451;0,001;0,003;0,004;0,8170000000000001;0,0004;0,419;0,79;0,006999999999999999;0,012;0,015;0,018000000000000002;0,579;0,004;0,037000000000000005;4,1;46,6;1,1;7,5;0,09;2,4;19,5;5,2;51,7;0,7;5,1;0,07;2,6;20,2
788;9,0;45,5333333;3,1460815;0,39014;0,116994;0,0390739;1578,0;1578,0;11,3338504;12022,2737819;114,4;1,0;17,048;0,064;0,05;0,038;0,02;0,049624;0,204;4318,0;0,002;0,456;0,325;0,108;0,675;0,01;0,083;0,01;0,02;0,473;0,002;0,002;0,003;0,754;0,0002;0,417;0,79;0,006;0,014;0,01;0,015;0,5710000000000001;0,003;0,036000000000000004;4,6;52,2;0,7;7,0;0,15;2,7;19,1;5,0;55,0;0,8;4,7;0,08;2,7;20,1
789;11,0;44,8833333;2,9682986;0,199155;0,115932;0,0390739;1558,0;1572,0;10,8524503;12222,737819;114,6;1,0;15,932;0,053;0,05;0,044;0,02;0,049624;0,217;4390,0;0,002;0,594;0,318;0,109;0,6729999999999999;0,01;0,069;0,008;0,02;0,461;0,002;0,003;0,003;0,775;0,0002;0,418;0,782;0,006;0,012;0,008;0,016;0,573;0,003;0,037000000000000005;4,3;50,6;0,5;8,1;0,08;2,5;20,0;5,8;53,6;0,5;4,7;0,06;2,6;20,4
790;27,0;47,3333333;1,8600858;0,3878051;0,13123800000000002;0,0394648;1551,0;1570,0;8,6814894;11466,1596958;115,9;1,0;13,601;0,043;0,05;0,06;0,02;0,04966;0,295;5026,0;0,002;0,48;0,282;0,09;0,624;0,008;0,063;0,006999999999999999;0,018000000000000002;0,439;0,002;0,003;0,003;0,78;0,0003;0,414;0,772;0,006;0,01;0,006999999999999999;0,017;0,569;0,004;0,037000000000000005;4,2;50,1;0,9;8,0;0,12;2,3;21,6;4,3;58,4;1,0;5,6;0,09;2,2;26,8
791;31,0;43,2666667;4,102094200000002;0,3202733;0,139725;0,0407586;1549,0;1571,0;15,1009357;13690,671316499998;117,0;1,0;21,07;0,084;0,05;0,071;0,02;0,051288;0,295;4362,0;0,002;0,514;0,275;0,099;0,6559999999999999;0,008;0,073;0,006999999999999999;0,015;0,4370000000000001;0,002;0,039;0,003;0,774;0,0004;0,418;0,789;0,006;0,012;0,008;0,011;0,5589999999999999;0,003;0,038;4,2;60,1;0,3;8,2;0,1;2,5;24,0;4,7;55,6;0,6;7,4;0,1;2,5;22,1
792;7,0;46,3833333;3,7665076;0,30606;0,093498;0,0382863;1554,0;1580,0;9,0097897;12377,2661871;110,6;1,0;13,805;0,127;0,05;0,084;0,02;0,048177;0,232;4779,0;0,002;0,534;0,303;0,102;0,693;0,008;0,07;0,009000000000000001;0,018000000000000002;0,476;0,002;0,035;0,003;0,772;0,0007;0,415;0,789;0,006999999999999999;0,009000000000000001;0,009000000000000001;0,014;0,562;0,003;0,036000000000000004;3,6;48,9;0,6;17,5;0,16;2,2;22,7;3,6;45,8;0,6;12,1;0,09;2,4;19,0
793;8,0;44,21666670000001;3,721144;0,333255;0,106512;0,0390913;1564,0;1578,0;12,0098361;12765,1376147;114,4;1,0;17,500999999999998;0,078;0,05;0,059;0,02;0,04919;0,285;4638,0;0,002;0,511;0,277;0,106;0,627;0,01;0,07200000000000001;0,006999999999999999;0,019;0,449;0,001;0,035;0,003;0,755;0,0003;0,42;0,7959999999999999;0,006;0,012;0,006999999999999999;0,011;0,556;0,003;0,036000000000000004;3,7;59,0;0,3;13,7;0,1;2,6;23,1;4,8;55,2;0,2;9,0;0,08;2,5;21,9
794;10,0;41,05;4,0;0,37816;0,131802;0,0396945;1581,0;1581,0;12,3395808;12779,5316565;115,9;1,0;16,679000000000002;0,086;0,05;0,058;0,02;0,049949;0,282;4093,0;0,001;0,483;0,28600000000000003;0,106;0,637;0,01;0,069;0,006999999999999999;0,018000000000000002;0,446;0,001;0,035;0,003;0,764;0,0005;0,415;0,789;0,006999999999999999;0,012;0,008;0,015;0,5670000000000001;0,003;0,036000000000000004;4,2;55,5;0,7;16,3;0,08;2,4;22,9;4,4;50,0;0,8;14,1;0,08;2,3;21,4
795;15,0;43,0333333;3,3287879;0,3209446;0,12678;0,0402412;1572,0;1583,0;13,61433;12700,9345794;117,0;1,0;19,529;0,065;0,05;0,069;0,02;0,050637;0,257;4530,0;0,002;0,513;0,294;0,106;0,635;0,01;0,081;0,008;0,018000000000000002;0,439;0,002;0,028;0,003;0,7759999999999999;0,0002;0,414;0,7909999999999999;0,008;0,012;0,009000000000000001;0,014;0,555;0,003;0,036000000000000004;4,0;55,3;1,4;7,2;0,08;2,7;20,3;4,1;51,7;0,7;15,6;0,07;2,5;20,7
796;9,0;47,1666667;3,9068991;0,3770527;0,131913;0,0390333;1556,0;1597,0;15,4983378;12692,830188700002;115,1;1,0;24,087;0,231;0,05;0,07400000000000001;0,02;0,049117;0,279;5606,0;0,002;0,473;0,287;0,104;0,624;0,01;0,07400000000000001;0,006999999999999999;0,019;0,45;0,002;0,035;0,003;0,764;0,0002;0,417;0,792;0,006999999999999999;0,01;0,008;0,014;0,551;0,003;0,036000000000000004;3,2;55,5;0,3;13,2;0,11;2,2;25,7;4,2;50,6;0,4;9,8;0,07;2,4;21,0
797;11,0;46,1166667;3,3180412000000006;0,3608897;0,114015;0,0390333;1540,0;1583,0;16,3456799;12852,3573201;111,1;1,0;24,909;0,171;0,05;0,068;0,02;0,049117;0,271;5755,0;0,002;0,475;0,28600000000000003;0,131;0,634;0,009000000000000001;0,069;0,006999999999999999;0,02;0,463;0,002;0,024;0,003;0,7709999999999999;0,0002;0,415;0,7879999999999999;0,005;0,011;0,006999999999999999;0,017;0,569;0,003;0,036000000000000004;2,9;59,7;0,2;10,9;0,08;2,3;26,4;4,0;60,5;0,4;6,1;0,05;2,6;23,6
798;19,0;43,9;3,403307;0,346115;0,114468;0,0384015;1552,0;1584,0;13,651272199999998;12833,7988827;113,4;1,0;19,673;0,173;0,05;0,07200000000000001;0,02;0,048322;0,277;5105,0;0,002;0,5;0,285;0,11;0,6509999999999999;0,01;0,075;0,008;0,018000000000000002;0,461;0,002;0,003;0,004;0,773;0,0003;0,417;0,7879999999999999;0,006999999999999999;0,012;0,009000000000000001;0,014;0,5539999999999999;0,003;0,035;3,7;52,8;0,2;9,5;0,07;2,3;23,2;4,5;58,6;0,6;9,6;0,13;2,3;25,5
799;20,0;45,4;4,0;0,3073497;0,089814;0,0382577;1541,0;1590,0;15,7856452;13274,7225647;115,2;1,0;23,582;0,172;0,05;0,08900000000000001;0,02;0,048141;0,249;5981,0;0,002;0,542;0,301;0,106;0,711;0,006999999999999999;0,073;0,011;0,018000000000000002;0,473;0,002;0,003;0,003;0,767;0,0004;0,42;0,7959999999999999;0,008;0,01;0,012;0,014;0,555;0,003;0,035;3,9;60,1;0,3;10,7;0,09;2,5;24,3;4,2;57,6;0,8;7,7;0,14;2,2;26,0
800;12,0;42,55;3,4387044;0,354155;0,110946;0,0381138;1623,0;1635,0;18,3064884;12097,4358974;112,9;1,0;25,863000000000003;0,41;0,05;0,07;0,02;0,04796;0,249;4718,0;0,002;0,4920000000000001;0,301;0,104;0,68;0,008;0,063;0,011;0,018000000000000002;0,47;0,002;0,003;0,004;0,75;0,0004;0,417;0,784;0,005;0,009000000000000001;0,012;0,012;0,555;0,003;0,036000000000000004;4,1;56,8;0,6;9,8;0,09;2,3;24,9;4,8;56,8;0,6;7,9;0,1;2,5;22,7
801;15,0;55,21666670000001;4,027307;0,1762285;0,102147;0,0388036;1516,0;1606,0;20,3325493;11668,2255846;114,2;1,0;36,977;0,166;0,05;0,081;0,02;0,048827999999999996;0,187;7069,0;0,002;0,632;0,324;0,098;0,723;0,009000000000000001;0,065;0,012;0,017;0,493;0,003;0,005;0,003;0,7659999999999999;0,0003;0,414;0,785;0,005;0,009000000000000001;0,012;0,011;0,551;0,003;0,037000000000000005;3,3;53,5;0,7;10,4;0,12;2,7;19,6;4,1;61,0;0,5;6,8;0,11;2,3;26,3
802;25,0;54,05;2,6272966;0,28597;0,098445;0,0377403;1585,0;1597,0;18,5378353;11434,658664700002;111,8;1,0;33,399;0,058;0,05;0,043;0,02;0,04749;0,212;4234,0;0,002;0,524;0,315;0,111;0,7190000000000001;0,008;0,067;0,011;0,017;0,479;0,002;0,003;0,003;0,762;0,0002;0,418;0,78;0,006999999999999999;0,01;0,011;0,013;0,574;0,003;0,036000000000000004;3,9;52,3;0,6;7,6;0,08;2,5;21,1;3,9;58,4;0,8;8,9;0,15;2,2;26,1
803;32,0;46,2;3,9252188;0,249815;0,086289;0,0388036;1522,0;1592,0;10,9238893;12736,1678631;114,2;1,0;16,665;0,047;0,05;0,023;0,02;0,048828;0,227;6407,0;0,002;0,5670000000000001;0,313;0,102;0,7140000000000001;0,008;0,068;0,011;0,018000000000000002;0,491;0,003;0,004;0,004;0,747;0,0002;0,419;0,7879999999999999;0,006;0,01;0,011;0,014;0,5760000000000001;0,004;0,037000000000000005;3,7;63,8;0,4;6,8;0,06;2,7;23,6;5,0;63,9;0,9;4,0;0,07;2,8;23,0
804;34,0;48,3666667;3,7279245;0,36797;0,109671;0,0391992;1523,0;1583,0;10,7334496;12941,7977528;115,6;1,0;17,096;0,068;0,05;0,044;0,02;0,049479;0,258;6399,0;0,002;0,494;0,3;0,115;0,6559999999999999;0,008;0,077;0,008;0,019;0,46;0,002;0,003;0,003;0,753;0,0001;0,42;0,7879999999999999;0,006;0,01;0,009000000000000001;0,015;0,575;0,003;0,036000000000000004;4,3;59,5;0,5;8,4;0,07;2,6;23,1;5,0;61,6;0,5;3,7;0,07;2,7;23,2
805;38,0;49,35;3,4191591;0,297795;0,091119;0,039013;1503,0;1579,0;17,0128038;12517,5108538;115,3;1,0;27,608;0,03;0,05;0,024;0,02;0,049371;0,203;7208,0;0,002;0,552;0,326;0,107;0,7240000000000001;0,009000000000000001;0,066;0,008;0,017;0,493;0,003;0,005;0,004;0,741;0,0003;0,418;0,784;0,006999999999999999;0,01;0,009000000000000001;0,011;0,5760000000000001;0,004;0,038;3,9;65,3;1,1;5,9;0,14;2,8;23,0;5,0;62,6;0,5;3,8;0,09;2,6;23,6
806;50,0;42,3666667;2,0;0,373985;0,144555;0,0382409;1578,0;1573,0;18,612087;12574,8116254;112,4;1,0;25,664;0,125;0,04;0,048;0,02;0,048394;0,251;3245,0;0,002;0,478;0,3;0,096;0,6509999999999999;0,008;0,066;0,008;0,018000000000000002;0,435;0,002;0,003;0,003;0,757;0,0001;0,419;0,784;0,005;0,01;0,008;0,013;0,5660000000000001;0,003;0,037000000000000005;4,9;51,0;0,5;14,3;0,16;2,0;25,4;6,9;59,8;0,7;5,9;0,07;2,5;23,6
807;19,0;49,71666670000001;3,0;0,279185;0,107154;0,0387838;1569,0;1589,0;9,596178300000002;11935,3846154;114,7;1,0;15,903;0,132;0,05;0,06;0,02;0,049081;0,171;4741,0;0,002;0,555;0,337;0,101;0,732;0,009000000000000001;0,075;0,01;0,018000000000000002;0,487;0,002;0,003;0,004;0,757;0,0005;0,417;0,79;0,006999999999999999;0,01;0,011;0,015;0,541;0,003;0,036000000000000004;8,7;53,9;0,7;23,4;0,1;2,7;19,8;6,9;57,7;0,5;6,8;0,11;2,3;24,8
808;27,0;41,5166667;1,4413056999999998;0,240245;0,081207;0,0380695;1579,0;1574,0;8,5714974;11525,2066116;112,7;1,0;11,862;0,08;0,05;0,077;0,02;0,048177;0,149;3099,0;0,002;0,589;0,34700000000000003;0,104;0,75;0,009000000000000001;0,067;0,012;0,018000000000000002;0,51;0,002;0,004;0,003;0,7490000000000001;0,0006;0,418;0,7859999999999999;0,006999999999999999;0,009000000000000001;0,013;0,013;0,57;0,003;0,037000000000000005;5,6;59,3;0,7;12,8;0,12;2,8;21,4;7,0;59,9;0,8;9,7;0,1;2,8;21,4
809;28,0;43,3333333;2,0;0,3286;0,086322;0,0384409;1559,0;1571,0;11,0783077;12255,1260504;113,7;1,0;16,002;0,08;0,05;0,077;0,02;0,048647;0,194;4051,0;0,002;0,532;0,33;0,114;0,716;0,009000000000000001;0,064;0,011;0,019;0,49;0,002;0,003;0,003;0,752;0,0001;0,42;0,787;0,006;0,011;0,012;0,014;0,565;0,003;0,037000000000000005;4,4;59,9;0,3;12,5;0,09;2,6;23,4;4,4;60,9;1,0;8,6;0,08;2,7;22,9
810;27,0;40,5;2,0;0,25864000000000004;0,093516;0,039013;1565,0;1581,0;8,82;11942,5692695;114,7;1,0;11,907;0,079;0,05;0,075;0,02;0,049371;0,252;3951,0;0,002;0,5820000000000001;0,302;0,083;0,706;0,008;0,055;0,011;0,016;0,4920000000000001;0,002;0,003;0,004;0,773;0,0005;0,419;0,7859999999999999;0,005;0,01;0,011;0,012;0,565;0,003;0,037000000000000005;4,4;56,8;0,5;10,3;0,1;2,7;21,3;4,2;62,6;0,8;6,9;0,11;2,8;22,3
811;24,0;45,85;2,0;0,295245;0,094548;0,0389268;1559,0;1619,0;10,9917121;12520,337197;115,5;1,0;16,799;0,16;0,05;0,075;0,02;0,049262;0,269;6601,0;0,002;0,555;0,295;0,084;0,7240000000000001;0,008;0,058;0,012;0,015;0,489;0,003;0,004;0,004;0,782;0,0003;0,42;0,792;0,005;0,01;0,013;0,01;0,568;0,003;0,037000000000000005;4,8;58,6;0,8;12,6;0,1;2,8;20,9;4,3;57,8;0,4;11,1;0,09;2,7;21,6
812;24,0;44,05;2,0;0,31154;0,084678;0,0382125;1545,0;1595,0;8,661521;13282,7586207;112,8;1,0;12,718;0,079;0,05;0,077;0,02;0,048358;0,244;5457,0;0,002;0,522;0,303;0,09;0,701;0,01;0,057;0,01;0,016;0,499;0,002;0,003;0,003;0,759;0,0002;0,418;0,787;0,005;0,011;0,01;0,012;0,5670000000000001;0,003;0,037000000000000005;3,1;62,8;0,3;9,7;0,11;2,5;24,8;3,5;61,8;1,0;3,5;0,15;2,3;26,5
813;25,0;62,71666670000001;2,0;0,29987;0,07305299999999999;0,0385839;1560,0;1584,0;8,3327133;11657,0365778;112,9;1,0;17,42;0,08;0,05;0,077;0,02;0,048828;0,27;5223,0;0,002;0,518;0,29;0,097;0,6809999999999999;0,009000000000000001;0,061;0,006999999999999999;0,014;0,495;0,002;0,003;0,003;0,76;0,0002;0,418;0,7859999999999999;0,005;0,011;0,008;0,01;0,5589999999999999;0,003;0,037000000000000005;4,4;54,7;0,6;8,9;0,11;2,7;20,2;4,5;59,6;0,6;10,3;0,09;2,6;22,7
814;41,0;45,2;2,0;0,37079;0,125475;0,0400418;1576,0;1583,0;8,3230088;11990,5511811;116,2;1,0;12,54;0,08199999999999999;0,05;0,048;0,02;0,050673;0,298;4230,0;0,001;0,484;0,281;0,105;0,624;0,01;0,07400000000000001;0,006999999999999999;0,015;0,457;0,001;0,003;0,003;0,764;0,0002;0,415;0,782;0,006999999999999999;0,012;0,006999999999999999;0,013;0,565;0,003;0,037000000000000005;3,9;57,7;0,6;10,5;0,09;2,6;22,2;3,5;60,8;0,9;3,3;0,1;2,3;26,3
815;44,0;40,7;2,0;0,37327;0,117612;0,0388699;1559,0;1572,0;9,1175916;13757,8378378;115,7;1,0;12,367;0,084;0,05;0,075;0,02;0,04919;0,272;4242,0;0,002;0,485;0,289;0,103;0,6509999999999999;0,009000000000000001;0,068;0,006999999999999999;0,016;0,459;0,002;0,003;0,003;0,7809999999999999;0,0003;0,417;0,794;0,006;0,011;0,008;0,014;0,57;0,003;0,036000000000000004;3,5;58,6;0,2;11,6;0,09;2,3;25,9;4,0;59,8;0,6;7,5;0,11;2,3;26,0
816;42,0;43,0333333;3,483965;0,226165;0,082829;0,0396704;1541,0;1575,0;7,4860177;12452,5547445;115,4;1,0;10,574000000000002;0,053;0,05;0,077;0,02;0,050203;0,225;4265,0;0,002;0,5670000000000001;0,316;0,095;0,733;0,009000000000000001;0,068;0,011;0,016;0,493;0,002;0,004;0,003;0,758;0,0003;0,417;0,7809999999999999;0,005;0,012;0,011;0,013;0,564;0,003;0,038;4,3;54,3;0,5;9,9;0,07;2,7;19,9;5,5;61,0;0,6;8,0;0,06;2,7;22,8
817;13,0;44,21666670000001;2,0;0,29977;0,069202;0,0373836;1555,0;1575,0;10,1093102;11954,6623794;110,6;1,0;14,9;0,055;0,05;0,08;0,02;0,047309;0,236;4131,0;0,002;0,528;0,305;0,099;0,718;0,01;0,064;0,01;0,016;0,507;0,002;0,004;0,003;0,775;0,0001;0,419;0,787;0,005;0,01;0,011;0,013;0,568;0,003;0,037000000000000005;3,4;56,5;0,3;6,4;0,07;2,9;19,2;6,2;60,1;0,5;8,8;0,1;2,8;21,7
818;11,0;44,1666667;2,7055016;0,2883777;0,103701;0,0396127;1583,0;1576,0;11,8517241;12011,6731518;116,5;1,0;17,185;0,146;0,05;0,077;0,02;0,05013;0,261;3430,0;0,003;0,532;0,29600000000000004;0,095;0,708;0,011;0,061;0,012;0,016;0,479;0,002;0,003;0,003;0,77;0,0004;0,418;0,7909999999999999;0,004;0,012;0,013;0,011;0,552;0,003;0,037000000000000005;4,2;57,0;0,9;7,1;0,1;2,3;24,8;4,5;48,4;0,7;8,2;0,1;2,4;20,4
819;8,0;43,1666667;3,175584;0,336954;0,15662;0,0402986;1559,0;1578,0;10,4723438;12072,121651;117,9;1,0;14,894;0,08800000000000001;0,05;0,065;0,02;0,050998;0,273;4631,0;0,002;0,496;0,29;0,095;0,674;0,011;0,068;0,009000000000000001;0,018000000000000002;0,436;0,002;0,003;0,004;0,77;0,0005;0,419;0,804;0,006;0,011;0,01;0,013;0,56;0,003;0,037000000000000005;4,1;58,6;0,5;11,5;0,1;2,6;22,5;6,4;57,5;0,5;6,5;0,1;2,3;24,6
820;11,0;44,21666670000001;3,5669574;0,281627;0,092704;0,038955300000000005;1545,0;1584,0;11,395703;12302,0188425;115,0;1,0;16,796;0,087;0,05;0,118;0,02;0,049298;0,239;5078,0;0,002;0,5579999999999999;0,302;0,095;0,682;0,01;0,063;0,009000000000000001;0,017;0,477;0,002;0,004;0,003;0,763;0,0003;0,415;0,7909999999999999;0,005;0,01;0,01;0,013;0,5589999999999999;0,003;0,038;3,5;62,5;0,5;7,5;0,11;2,6;23,7;3,2;65,2;0,6;3,4;0,1;2,8;23,0
821;13,0;41,3833333;4,353781099999999;0,24169;0,091238;0,038812300000000015;1534,0;1579,0;11,6023069;12833,1210191;114,5;1,0;15,647;0,152;0,05;0,071;0,02;0,049117;0,26;5037,0;0,002;0,59;0,294;0,095;0,67;0,01;0,06;0,008;0,017;0,488;0,002;0,004;0,003;0,774;0,0002;0,415;0,79;0,005;0,009000000000000001;0,009000000000000001;0,013;0,557;0,003;0,037000000000000005;4,9;60,9;1,6;5,0;0,2;2,7;22,9;6,3;57,6;0,6;6,1;0,1;2,3;24,6
822;13,0;45,8833333;2,99082745;0,35279;0,135876;0,0394413;1575,0;1587,0;10,1357065;12008,7019579;116,8;1,0;15,502;0,22;0,05;0,069;0,02;0,049913;0,29;4600,0;0,002;0,513;0,282;0,084;0,645;0,01;0,054000000000000006;0,006999999999999999;0,015;0,458;0,002;0,003;0,003;0,758;0,0005;0,417;0,7959999999999999;0,004;0,012;0,008;0,011;0,55;0,003;0,037000000000000005;3,8;59,4;0,3;10,0;0,09;2,5;23,8;4,0;51,7;0,4;9,4;0,08;2,5;20,3
823;19,0;41,2333333;3,5486399;0,372453;0,143322;0,0395843;1577,0;1607,0;9,2745392;12522,6511289;116,3;1,0;12,719;0,239;0,05;0,113;0,02;0,050094;0,281;4776,0;0,002;0,49;0,287;0,091;0,6459999999999999;0,009000000000000001;0,063;0,008;0,016;0,452;0,002;0,003;0,004;0,759;0,0007;0,419;0,795;0,006;0,01;0,009000000000000001;0,013;0,5539999999999999;0,003;0,037000000000000005;4,6;53,6;0,7;26,7;0,09;2,7;20,1;5,9;58,1;0,6;6,6;0,11;2,3;25,4
824;20,0;43,85;3,2874049;0,111796;0,100428;0,038384;1551,0;1583,0;10,6800457;12547,2684086;113,3;1,0;15,581;0,16399999999999998;0,05;0,117;0,02;0,048575;0,232;4402,0;0,002;0,696;0,307;0,116;0,684;0,009000000000000001;0,069;0,012;0,017;0,4920000000000001;0,003;0,005;0,004;0,7759999999999999;0,0004;0,417;0,7909999999999999;0,006;0,009000000000000001;0,012;0,013;0,561;0,003;0,036000000000000004;4,1;54,5;0,4;12,1;0,09;2,7;20,2;6,2;58,6;0,6;6,2;0,11;2,3;25,6
825;7,0;41,6833333;3,2715537;0,382804;0,165496;0,037954900000000014;1577,0;1585,0;11,8032787;12273,9236393;113,1;1,0;16,4;0,172;0,05;0,062;0,02;0,048032;0,298;4197,0;0,001;0,49;0,274;0,107;0,615;0,011;0,073;0,006999999999999999;0,02;0,424;0,001;0,003;0,003;0,7609999999999999;0,0003;0,417;0,8009999999999999;0,006;0,01;0,006999999999999999;0,013;0,5710000000000001;0,003;0,037000000000000005;3,3;51,8;0,5;14,8;0,18;2,1;24,7;3,6;52,6;0,4;11,4;0,12;2,1;24,8
826;8,0;43,7;3,0;0,348194;0,102894;0,039156;1590,0;1583,0;11,864613;11700,8498584;115,5;1,0;17,118;0,087;0,05;0,06;0,02;0,049552;0,258;3442,0;0,002;0,506;0,292;0,103;0,652;0,01;0,065;0,008;0,017;0,476;0,002;0,003;0,003;0,775;0,0003;0,414;0,7979999999999999;0,005;0,011;0,008;0,012;0,5660000000000001;0,003;0,037000000000000005;3,5;47,2;0,4;7,4;0,07;2,7;17,5;4,9;57,7;0,6;6,4;0,09;2,7;21,3
827;11,0;41,85;3,2618182;0,342471;0,103677;0,0389268;1560,0;1579,0;9,1957464;12662,7575277;114,0;1,0;12,731;0,133;0,05;0,059;0,02;0,049262;0,277;4439,0;0,002;0,509;0,28300000000000003;0,101;0,664;0,009000000000000001;0,066;0,006999999999999999;0,017;0,464;0,002;0,003;0,003;0,754;0,0004;0,415;0,779;0,006999999999999999;0,01;0,008;0,011;0,5579999999999999;0,003;0,037000000000000005;4,0;57,8;0,5;8,9;0,08;2,7;21,8;3,5;48,1;0,5;6,6;0,07;2,8;17,4
828;12,0;42,05;3,8191945;0,348567;0,121388;0,0391844;1550,0;1591,0;9,4758621;12602,4064171;115,1;1,0;13,282;0,17600000000000002;0,05;0,105;0,02;0,049588;0,279;5237,0;0,002;0,504;0,28;0,085;0,657;0,01;0,055;0,006999999999999999;0,018000000000000002;0,444;0,002;0,003;0,003;0,772;0,0003;0,414;0,7879999999999999;0,005;0,011;0,006999999999999999;0,014;0,545;0,003;0,036000000000000004;3,3;55,6;0,6;13,2;0,12;2,3;24,6;3,5;56,2;0,6;13,5;0,12;2,3;24,3
829;15,0;43,3666667;4,235696;0,34779;0,130794;0,0392129;1547,0;1584,0;10,275;13264,4295302;116,0;1,0;14,796;0,161;0,05;0,059;0,02;0,049624;0,28;4941,0;0,002;0,511;0,28800000000000003;0,098;0,6509999999999999;0,009000000000000001;0,063;0,008;0,018000000000000002;0,465;0,002;0,004;0,004;0,772;0,0005;0,418;0,797;0,006;0,01;0,009000000000000001;0,01;0,5670000000000001;0,003;0,037000000000000005;3,6;58,5;0,3;10,8;0,06;2,4;24,0;3,4;59,9;0,5;8,5;0,07;2,4;24,8
830;16,0;46,3833333;3,483871;0,53084;0,115093;0,0408981;1619,0;1634,0;12,7823931;12985,6169569;109,9;1,0;19,763;0,173;0,05;0,058;0,02;0,051613;0,001;4765,0;0,001;0,32299999999999995;0,07400000000000001;0,091;0,6990000000000001;0,006999999999999999;0,056;0,011;0,016;0,174;0,001;0,002;0,003;0,737;0,0004;0,076;0,846;0,005;0,011;0,012;0,009000000000000001;0,264;0,002;0,003;3,6;59,4;0,5;12,6;0,11;2,6;22,7;5,4;57,3;0,6;13,6;0,17;2,6;22,1
831;44,0;44,6833333;4,2586976;0,40899;0,115144;0,0408981;1516,0;1593,0;8,268183500000001;13551,8682711;112,8;1,0;12,315;0,162;0,05;0,069;0,02;0,051613;0,001;5944,0;0,001;0,412;0,076;0,095;0,6609999999999999;0,01;0,058;0,01;0,022;0,182;0,001;0,003;0,002;0,722;0,0002;0,078;0,815;0,005;0,012;0,012;0,018000000000000002;0,256;0,002;0,003;5,6;53,0;3,1;11,7;0,15;2,6;20,1;4,8;59,5;0,8;5,4;0,09;2,3;26,0
